Sample,Location,Age,Major,Trace,Isotope,Reference
analysis,basin,age,al2o3,ag_ppm,c13_c12,author
comments,continent,age_2sd,bao,al_ppm,c13_c12_2sd,bibtex
depth,country,ar40_ar39_age,caco3,as_ppm,cap_o17,citation
elevation,craton,ar40_ar39_age_2sd,cao,au_ppm,cap_o17_2sd,doi
latitude,orogen,pb206_u238_age_2sd,co2,b_ppm,cap_s33,journal
lithology,region,pb206_u238_age_ma,cr2o3,ba_ppm,cap_s33_2sd,title
longitude,terrane,pb207_pb206_age_2sd,fe2o3,be_ppm,cap_s34,year
magmatic_detrital,,pb207_pb206_age_ma,fe2o3_tot,bi_ppm,cap_s34_2sd,
material_analyzed,,pb207_u235_age_2sd,feo,br_ppm,cap_s36,
method,,pb207_u235_age_ma,feo_tot,c_ppm,cap_s36_2sd,
sample,,pb208_th232_age_2sd,h2o_minus,ca_ppm,dc13,
sample_description,,pb208_th232_age_ma,h2o_plus,cd_ppm,dc13_2sd,
strat_unit,,rb_sr_isochron,h2o_tot,ce_ppm,dc13_org,
suite_pluton_name,,rb_sr_isochron_2sd,k2o,cl_ppm,dc13_org_2sd,
,,sm_nd_isochron,loi,co_ppm,dfe56,
,,sm_nd_isochron_2sd,mgco3,cr_ppm,dfe56_2sd,
,,,mgo,cs_ppm,dmo98,
,,,mno,cu_ppm,dmo98_2sd,
,,,na2o,dy_ppm,dnd146_144,
,,,nio,er_ppm,dnd146_144_2sd,
,,,p2o5,eu_ppm,dnd148_144,
,,,sio2,f_ppm,dnd148_144_2sd,
,,,so3,fe_ppm,do17,
,,,sro,ga_ppm,do17_2sd,
,,,tio2,gd_ppm,do18m,
,,,toc,ge_ppm,do18m_2sd,
,,,,h_ppm,do18n,
,,,,hf_ppm,do18n_2sd,
,,,,hg_ppm,ds33,
,,,,ho_ppm,ds33_2sd,
,,,,i_ppm,ds34,
,,,,in_ppm,ds34_2sd,
,,,,ir_ppm,dzn66,
,,,,k_ppm,dzn66_2sd,
,,,,la_ppm,fe56_fe54,
,,,,li_ppm,fe56_fe54_2sd,
,,,,lu_ppm,hf176_hf177,
,,,,mg_ppm,hf176_hf177_2sd,
,,,,mn_ppm,hf178_hf177,
,,,,mo_ppm,hf178_hf177_2sd,
,,,,n_ppm,hf180_hf177,
,,,,na_ppm,hf180_hf177_2sd,
,,,,nb_ppm,lu176_hf177,
,,,,nd_ppm,lu176_hf177_2sd,
,,,,ni_ppm,mo98_mo95,
,,,,os_ppm,mo98_mo95_2sd,
,,,,p_ppm,nd143_nd144,
,,,,pa_ppm,nd143_nd144_2sd,
,,,,pb_ppm,o16_o18,
,,,,pd_ppm,o18_o16,
,,,,pm_ppm,o18_o16_2sd,
,,,,pr_ppm,oh16_o16,
,,,,pt_ppm,oh16_o16c,
,,,,rb_ppm,os187_os188,
,,,,re_ppm,os187_os188_2sd,
,,,,rh_ppm,pb206_pb204,
,,,,ru_ppm,pb206_pb204_2sd,
,,,,s_ppm,pb206_pb207,
,,,,sb_ppm,pb206_pb207_2sd,
,,,,sc_ppm,pb206_u238,
,,,,se_ppm,pb206_u238_2sd,
,,,,si_ppm,pb207_pb204,
,,,,sm_ppm,pb207_pb204_2sd,
,,,,sn_ppm,pb207_pb206,
,,,,sr_ppm,pb207_pb206_2sd,
,,,,ta_ppm,pb207_u235,
,,,,tb_ppm,pb207_u235_2sd,
,,,,te_ppm,pb208_pb204,
,,,,th_ppm,pb208_pb204_2sd,
,,,,ti_ppm,pb208_pb206,
,,,,tl_ppm,pb208_th232,
,,,,tm_ppm,pb208_th232_2sd,
,,,,u_ppm,pbc_206_pc,
,,,,v_ppm,rb87_sr86,
,,,,w_ppm,rb87_sr86_2sd,
,,,,y_ppm,rb87_sr87,
,,,,yb_ppm,rb87_sr87_2sd,
,,,,zn_ppm,re187_os188_2sd,
,,,,zr_ppm,re187_os188_2sd,
,,,,,rho_206pb238u_207pb235u,
,,,,,rho_207pb235u_206pb238u,
,,,,,s33_s32,
,,,,,s33_s32_2sd,
,,,,,s34_s32,
,,,,,s34_s32_2sd,
,,,,,s36_s32,
,,,,,s36_s32_2sd,
,,,,,sm147_nd144,
,,,,,sm147_nd144_2sd,
,,,,,sr87_sr86,
,,,,,sr87_sr86,
,,,,,sr87_sr86_2sd,
,,,,,sr87_sr86_2sd,
,,,,,th232_pb204,
,,,,,th232_pb204_2sd,
,,,,,th232_u238,
,,,,,th232_u238_2sd,
,,,,,u238_pb204,
,,,,,u238_pb204_2sd,
,,,,,u238_pb206,
,,,,,u238_pb206_2sd,
,,,,,u238_th232,
,,,,,u238_th232_2sd,
,,,,,yb176_hf177,
,,,,,yb176_hf177_2sd,
,,,,,zn66_zn64,
,,,,,zn66_zn64_2sd,
